CWA,DEF,EPE,EXP,FUM,INT,PA,PAS,PEN,QBP,QBR,REP,RUN,SAC,SCR,TOT,TQBR,UNQRK,YAC,athlete_id,athlete_name,game_id,team_abbreviation,team_id,week,year
0.935,0.0,-0.661,-2.559,-0.388,-1.976,0.332,-0.661,0.934,53.0,51.625,-0.252,5.365,-2.947,5.617,2.691,77.148,0.0,-1.149,116190,Bryan Randall,242410259,VT,259,1,2004
0.993,0.0,5.053,-1.193,0.0,0.0,3.246,5.053,-0.159,34.0,72.947,0.141,1.143,-1.193,1.002,4.845,91.239,0.0,0.636,120511,Matt Leinart,242410259,USC,30,1,2004
0.721,0.0,5.866,0.0,0.0,-0.955,6.804,5.866,0.162,37.0,87.113,0.0,0.155,0.0,0.155,6.183,82.056,0.0,0.044,20847,Jason White,242480201,OKLA,201,2,2004
0.669,0.0,1.737,-1.418,0.0,0.0,-2.224,1.737,-0.125,43.0,36.878,0.0,-0.301,-1.418,-0.301,-0.106,54.727,0.0,0.519,100104,Andrew Walter,242460009,ASU,9,2,2004
0.948,0.0,-0.854,-4.568,-1.459,-1.408,-10.5,-0.68,0.0,38.0,5.36,0.0,-1.346,-6.027,-1.346,-8.227,9.54,0.0,-0.509,100854,Stan Hill,242480276,MRSH,276,2,2004
0.597,0.0,-1.408,-0.652,0.0,-1.268,-4.029,-1.408,-0.022,24.0,14.877,0.824,0.365,-0.652,-0.459,-1.717,7.722,0.0,-0.184,101204,Rasheed Marshall,242480277,WVU,277,2,2004
0.457,0.0,3.769,-1.796,0.0,-0.87,-0.341,3.769,-0.311,50.0,48.228,-0.603,-0.719,-1.796,-0.117,0.942,65.477,0.0,-1.71,102203,Charlie Frye,242480213,AKR,2006,2,2004
0.848,0.0,-2.073,-2.688,0.0,-3.641,-7.454,-2.073,-0.323,37.0,10.974,-0.571,0.271,-2.688,0.842,-4.813,8.272,0.0,-0.737,102252,Grant Arnoldink,242480084,CMU,2117,2,2004
0.675,0.0,2.602,-1.284,0.0,0.0,-0.835,2.602,-0.319,30.0,42.818,-0.589,-0.589,-1.284,0.0,0.409,22.445,0.0,0.608,102351,Ryan Hawk,242480195,OHIO,195,2,2004
0.626,0.0,1.625,-0.136,-0.183,-1.051,0.455,1.625,-0.108,25.0,54.709,-0.16,-0.16,-0.32,0.0,1.037,39.745,0.0,0.407,103392,Jason Campbell,242480002,AUB,2,2,2004
1.0,0.0,4.317,0.0,0.0,-0.358,1.599,4.317,0.419,54.0,57.633,-0.288,-0.545,0.0,-0.256,4.191,67.316,0.0,-0.684,103751,Danny Wimprine,242480145,MEM,235,2,2004
0.985,0.0,1.178,-0.512,0.0,0.0,-0.785,1.178,1.323,73.0,47.209,0.693,0.693,-0.512,0.0,2.682,25.685,0.0,-3.045,105182,Timmy Chang,242480062,HAW,62,2,2004
0.465,0.0,-0.129,0.0,-0.389,0.0,-2.779,-0.129,0.0,20.0,19.095,-0.215,-0.717,0.0,-0.113,-0.846,44.063,0.0,-0.318,105712,Scott Hall,242480251,UNT,249,2,2004
